RHAPSODY	 1400.0  8.0   85	0.0 0.1  0.05 		0.0  5  0.14  1.0 130.0	0.15 0.65 0.7  35.0		1.25 1.05 13.5 0.15 0.48		1.7  1.1  1.1  0.15 -0.14 0.0  0.5  		1.0 1.0 0.8 1.5 	0.0  14000 		440000		0				0
TAMPA		 1700.0  7.3   85	0.0 0.0 -0.08  		0.0  5  0.21  1.0 145.0	0.23 0.65 0.7  35.0		1.35 1.10 14.5 0.15 0.48		1.2  1.0  1.0  0.13 -0.21 0.0  0.5  		1.0 1.0 0.8 1.5 	0.0  25000 		440000		0				0
;
;------- bikes -------------------------------------
; name       mass    drag  boy  centreofmass  		transmission		 	brakes         steer	wheel-traction       	    	suspension									damage   			seat val     	mflags      hflags			anim
; A          B       C     D    E   F    G    		Tt   Tg Tf	  Ti  Tv	Tb   Tbb  Thb  Ts    	Wc+  Wc-  Wc-  Ws+  Wbias		Sf   Scd  Srd  Su    Sl   Sr   Sb   		Dc  Dw  Dd  De		Ms   Mv			Mmf 		Mhf	 			Ma
;
ANGEL	      300.0 10.0   85	0.0 0.0  -0.05 		0.0  5  0.18  1.0 125.0	0.6  0.65 0.5  35.0		1.50 1.20 13.0 0.12 0.49		4.0  2.0  2.0  0.10 -0.10 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  25000 		440800		1				0
BATI	      250.0 10.0   85	0.0 -0.05 -0.10		0.0  5  0.25  1.0 150.0	0.6  0.85 0.7  35.0		1.80 1.50 20.0 0.13 0.48		4.5  2.5  3.0  0.20 -0.15 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  25000 		440800		1				0
BATI2	      250.0 10.0   85	0.0 -0.05 -0.10		0.0  5  0.25  1.0 150.0	0.6  0.85 0.7  35.0		1.80 1.50 20.0 0.13 0.48		4.5  2.5  3.0  0.20 -0.15 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  25000 		440800		1				0
DAEMON	      300.0 10.0   85	0.0 0.0  -0.20 		0.0  5  0.21  1.0 125.0	0.6  0.65 0.5  35.0		1.50 1.20 12.0 0.10 0.49		4.0  2.0  2.0  0.10 -0.10 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  25000 		440800		1				0
DIABO	      300.0 10.0   85	0.0 0.0  -0.10 		0.0  5  0.20  1.0 125.0	0.6  0.65 0.5  35.0		1.50 1.20 12.0 0.10 0.49		4.0  2.0  2.0  0.20 -0.10 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  25000 		440800		1				0
DOUBLE	      250.0 10.0   85	0.0 0.0  -0.10 		0.0  5  0.25  1.0 150.0	0.55 0.82 0.60 35.0		1.55 1.30 14.0 0.13 0.48		4.5  2.5  3.0  0.20 -0.15 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  25000 		440800		1				0
DOUBLE2	      250.0 11.0   85	0.0 0.0  -0.15 		0.0  5  0.31  1.0 160.0	0.55 0.84 0.60 35.0		1.55 1.30 14.0 0.13 0.48		4.0  2.0  2.0  0.20 -0.15 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  25000 		440800		1				0
HAKUCH	      250.0 10.0   85	0.0 0.0  -0.15 		0.0  5  0.27  1.0 150.0	0.58 0.84 0.55 35.0		1.55 1.30 14.0 0.13 0.48		4.5  2.5  3.0  0.20 -0.15 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  25000 		440800		1				0
HAKUCH2	      250.0 12.0   85	0.0 0.0  -0.15 		0.0  5  0.35  1.0 160.0	0.58 0.85 0.55 35.0		1.55 1.30 14.0 0.13 0.48		4.0  2.0  2.0  0.20 -0.15 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  25000 		440800		1				0
HEXER	      300.0 10.0   85	0.0 0.0  -0.15 		0.0  5  0.20  1.0 125.0	0.6  0.65 0.6  35.0		1.65 1.35 16.0 0.13 0.491		4.0  2.0  2.0  0.20 -0.10 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  25000 		440800		1				0
;HEXER	      300.0 10.0   85	0.0 0.0  -0.15 		0.0  5  0.20  1.0 125.0	0.6  0.65 0.6  35.0		1.50 1.25 14.0 0.13 0.48		4.0  2.0  2.0  0.20 -0.10 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  25000 		440800		1				0
INNOV	      300.0 10.0   85	0.0 0.0  -0.10 		0.0  5  0.20  1.0 125.0	0.6  0.65 0.5  35.0		1.50 1.25 14.0 0.13 0.49		4.0  2.0  2.0  0.20 -0.10 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  25000 		440800		1				0
LYCAN	      300.0 10.0   85	0.0 0.0  -0.15 		0.0  5  0.20  1.0 125.0	0.6  0.65 0.5  35.0		1.50 1.25 14.0 0.13 0.49		4.0  2.5  2.5  0.20 -0.10 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  25000 		440800		1				0
NIGHTBL	      300.0 10.0   85	0.0 0.0  -0.10 		0.0  5  0.20  1.0 125.0	0.5  0.65 0.5  35.0		1.50 1.20 13.0 0.12 0.49		4.0  2.0  2.3  0.20 -0.10 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  25000 		440800		1				0
REVENANT	  300.0 12.0   85	0.0 0.0  -0.05 		0.0  5  0.25  1.0 130.0	0.6  0.65 0.5  35.0		1.50 1.25 13.0 0.12 0.48		4.5  2.5  2.5  0.14 -0.10 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  25000 		440800		1				0
WAYFARER      300.0 10.0   85	0.0 0.0  -0.05 		0.0  5  0.18  1.0 125.0	0.6  0.65 0.5  35.0		1.50 1.20 13.0 0.12 0.49		4.0  2.0  2.0  0.10 -0.10 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  25000 		440800		1				0
WOLFS	      300.0 10.0   85	0.0 0.0  -0.03 		0.0  5  0.21  1.0 125.0	0.6  0.65 0.5  35.0		1.50 1.20 13.0 0.12 0.49		4.0  2.0  2.0  0.14 -0.10 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  25000 		440800		1				0
;
; GTAIV bikes for reference
;BOBBER	      300.0 10.0   85	0.0 0.0   0.0 		0.0  5  0.20  1.0 125.0	0.7  0.65 0.5  35.0		1.50 1.20 12.0 0.10 0.49		4.0  2.0  2.0  0.20 -0.10 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  20000 		440800		1				0
;FAGGIO	      200.0 13.0   85	0.0 0.0  -0.1 		0.0  4  0.15  1.0  80.0	1.0  0.60 0.7  35.0		1.60 1.30 13.5 0.10 0.48		5.0  3.0  3.0  0.15 -0.15 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  7000  		440800		1				0
;HELLFURY     300.0 10.0   85	0.0 0.0   0.0 		0.0  5  0.20  1.0 125.0	0.7  0.65 0.5  35.0		1.40 1.15 12.0 0.10 0.48		4.0  2.0  2.0  0.20 -0.10 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  25000 		440800		1				0
;NG900	      250.0  9.0   85	0.0 0.0  -0.1 		0.0  5  0.25  1.0 150.0	0.6  0.85 0.5  35.0		1.55 1.30 14.0 0.13 0.48		4.0  2.5  2.5  0.20 -0.15 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  25000 		440800		1				0
;PCJ		  250.0 11.0   85	0.0 0.0  -0.1 		0.0  5  0.25  1.0 140.0	0.6  0.80 0.5  35.0		1.50 1.25 15.0 0.13 0.48		5.0  3.0  3.0  0.20 -0.15 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  20000 		440800		1				0
;SANCHEZ	  200.0  9.0   85	0.0 0.0   0.0 		0.0  4  0.20  1.0 130.0	0.7  0.80 0.5  35.0		1.45 1.20 18.0 0.13 0.48		3.0  2.0  2.5  0.22 -0.15 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  12000 		440800		1				0
;ZOMBIE	      300.0 10.0   85	0.0 0.0   0.0 		0.0  5  0.20  1.0 125.0	0.7  0.65 0.5  35.0		1.50 1.20 12.0 0.10 0.49		4.0  2.0  2.0  0.20 -0.10 0.0  0.5  		0.5 1.0 0.8 1.5 	0.0  25000 		440800		1				0
;
;
;
;
; '!' identifies this line as bike data for reading
;	A		B		C		D		E		F		G		H		I		J		K		L		M		N		O		P
;
;			LeanFwdCOM		LeanBakCOM		MaxLean			DesLean			BrakeStabil		WheelieAng		WheelieSteer	StoppieStabMult
;	ID				LeanFwdForce	LeanBackForce	FullAnimLean	StickLean		InAirSteer		StoppieAng		WheelieStabMult
;
!	ANGEL		0.15 	 2.0	 0.20	 3.0	30.0	42.0	0.30	0.20	-0.5	-2.5	35.0	-40.0	-10.0	10.0	5.0
!	BATI		0.35 	 5.0 	 0.38	 6.0 	45.0	55.0	0.38	0.30	-1.0	-2.5	35.0	-40.0	-15.0	20.0	5.0
!	BATI2		0.35 	 5.0 	 0.38	 6.0 	45.0	55.0	0.38	0.30	-1.0	-2.5	35.0	-40.0	-15.0	20.0	5.0
!	DAEMON		0.15 	 2.0	 0.25	 4.0	36.0	45.0	0.30	0.20	-0.5	-2.5	35.0	-40.0	-10.0	10.0	5.0
!	DIABO		0.15 	 2.0	 0.20	 3.0	30.0	45.0	0.30	0.20	-0.5	-2.5	35.0	-40.0	-10.0	10.0	5.0
!	DOUBLE		0.3 	 5.0 	 0.36	 6.0 	45.0	55.0	0.38	0.30	-1.0	-2.5	35.0	-40.0	-15.0	20.0	5.0
!	DOUBLE2		0.3 	 5.0 	 0.3	 5.0 	40.0	50.0	0.38	0.30	-1.0	-2.5	40.0	-40.0	-15.0	10.0	5.0
!	HAKUCH		0.3 	 5.0 	 0.35	 5.0 	40.0	38.0	0.38	0.30	-1.0	-2.5	35.0	-40.0	-10.0	20.0	5.0
!	HAKUCH2		0.3 	 5.0 	 0.3	 5.0 	40.0	38.0	0.38	0.30	-1.0	-2.5	40.0	-40.0	-10.0	10.0	5.0
!	HEXER		0.15 	 2.0	 0.20	 3.0	35.0	45.0	0.30	0.20	-0.5	-2.5	35.0	-40.0	-10.0	10.0	5.0
!	INNOV		0.15 	 2.0	 0.20	 3.0	30.0	38.0	0.30	0.20	-0.5	-2.5	35.0	-40.0	-10.0	10.0	5.0
!	LYCAN		0.15 	 2.0	 0.25	 4.0	34.0	40.0	0.30	0.20	-0.5	-2.5	35.0	-40.0	-10.0	10.0	5.0
!	NIGHTBL		0.15 	 2.0	 0.20	 3.0	28.0	45.0	0.30	0.20	-0.5	-2.5	35.0	-40.0	-10.0	10.0	5.0
!	REVENANT	0.15 	 2.0	 0.26	 3.5	33.0	55.0	0.30	0.20	-0.5	-2.5	35.0	-40.0	-10.0	10.0	5.0
!	WAYFARER	0.15 	 2.0	 0.20	 3.0	30.0	42.0	0.30	0.20	-0.5	-2.5	35.0	-40.0	-10.0	10.0	5.0
!	WOLFS		0.15 	 3.0	 0.28	 4.0	33.0	50.0	0.30	0.20	-0.5	-2.5	35.0	-40.0	-10.0	10.0	5.0
;
;
; GTAIV bikes for reference
;	BOBBER		0.15 	 2.0	 0.25	 3.5	30.0	38.0	0.30	0.20	-0.5	-2.5	35.0	-40.0	-10.0	10.0	5.0
;	FAGGIO		0.25 	 4.5	 0.35	 5.0	30.0	38.0	0.30	0.40	-0.5	-2.5	35.0	-40.0	-10.0	10.0	5.0
;	HELLFURY	0.15 	 2.0	 0.20	 3.0	30.0	38.0	0.30	0.20	-0.5	-2.0	35.0	-40.0	-10.0	10.0	5.0
;	NRG900		0.3 	 5.0 	 0.3	 5.0 	40.0	38.0	0.38	0.30	-1.0	-2.5	40.0	-40.0	-10.0	10.0	5.0
;	PCJ			0.3 	 5.0 	 0.35	 5.0 	40.0	38.0	0.35	0.30	-1.0	-2.5	40.0	-40.0	-10.0	10.0	5.0
;	SANCHEZ		0.35	 5.0 	 0.35	 5.0 	45.0	38.0	0.32	0.40 	-0.5	-2.5	35.0	-40.0	-10.0	10.0	5.0
;	ZOMBIE		0.15 	 2.0	 0.20	 3.0	30.0	38.0	0.30	0.20	-0.5	-2.5	35.0	-40.0	-10.0	10.0	5.0
;
;the end
